QueryID,DocID,Document Rank,Precision,System_Name
1,1033,5,0.4,BM25
1,2535,20,0.1,BM25
2,3136,5,0.6,BM25
2,276,20,0.15,BM25
3,1402,5,0.0,BM25
3,2897,20,0.1,BM25
4,3141,5,0.4,BM25
4,2949,20,0.15,BM25
5,1671,5,0.4,BM25
5,2357,20,0.2,BM25
6,2230,5,0.4,BM25
6,2753,20,0.15,BM25
7,2342,5,0.8,BM25
7,2740,20,0.45,BM25
8,2541,5,0.4,BM25
8,492,20,0.1,BM25
9,3158,5,0.6,BM25
9,1750,20,0.25,BM25
10,2700,5,0.6,BM25
10,2195,20,0.65,BM25
11,3171,5,0.6,BM25
11,1835,20,0.4,BM25
12,1461,5,0.4,BM25
12,1462,20,0.1,BM25
13,1947,5,0.8,BM25
13,2858,20,0.25,BM25
14,701,5,0.4,BM25
14,1956,20,0.65,BM25
15,2195,5,0.2,BM25
15,1947,20,0.15,BM25
16,2522,5,0.2,BM25
16,1032,20,0.1,BM25
17,3080,5,0.0,BM25
17,2433,20,0.15,BM25
18,2570,5,0.2,BM25
18,2895,20,0.3,BM25
19,3156,5,1.0,BM25
19,1302,20,0.4,BM25
20,2368,5,0.4,BM25
20,2290,20,0.1,BM25
21,2837,5,0.2,BM25
21,2903,20,0.15,BM25
22,2564,5,1.0,BM25
22,2771,20,0.4,BM25
23,2949,5,0.6,BM25
23,2969,20,0.2,BM25
24,1540,5,0.4,BM25
24,2740,20,0.15,BM25
25,1653,5,0.6,BM25
25,2344,20,0.45,BM25
26,1680,5,0.0,BM25
26,2541,20,0.15,BM25
27,2358,5,0.8,BM25
27,2372,20,0.55,BM25
28,2849,5,0.8,BM25
28,2274,20,0.2,BM25
29,2462,5,0.8,BM25
29,3037,20,0.6,BM25
30,2947,5,0.4,BM25
30,2396,20,0.15,BM25
31,2283,5,0.2,BM25
31,2721,20,0.1,BM25
32,2883,5,0.2,BM25
32,2695,20,0.1,BM25
33,2695,5,0.2,BM25
33,2226,20,0.05,BM25
36,2754,5,0.4,BM25
36,1989,20,0.3,BM25
37,2184,5,0.2,BM25
37,2850,20,0.1,BM25
38,2470,5,0.6,BM25
38,595,20,0.4,BM25
39,2470,5,0.2,BM25
39,1902,20,0.25,BM25
40,1588,5,0.6,BM25
40,1835,20,0.25,BM25
42,3089,5,0.8,BM25
42,1931,20,0.35,BM25
43,3125,5,0.4,BM25
43,1726,20,0.35,BM25
44,1002,5,0.8,BM25
44,2062,20,0.25,BM25
45,2926,5,0.6,BM25
45,3058,20,0.4,BM25
48,1914,5,0.6,BM25
48,1899,20,0.35,BM25
49,3134,5,0.0,BM25
49,2711,20,0.15,BM25
57,2850,5,0.2,BM25
57,2876,20,0.05,BM25
58,1171,5,0.8,BM25
58,1619,20,0.55,BM25
59,2905,5,1.0,BM25
59,1888,20,0.35,BM25
60,3089,5,0.6,BM25
60,2959,20,0.6,BM25
61,634,5,1.0,BM25
61,1699,20,0.65,BM25
62,950,5,0.4,BM25
62,2570,20,0.25,BM25
63,950,5,1.0,BM25
63,2851,20,0.45,BM25
64,2305,5,0.2,BM25
64,2002,20,0.05,BM25
