QueryID,DocID,Document Rank,Precision,System_Name
1,2358,5,0.4,CosineSimilarity
1,1572,20,0.2,CosineSimilarity
2,435,5,0.6,CosineSimilarity
2,1977,20,0.15,CosineSimilarity
3,2708,5,0.0,CosineSimilarity
3,2534,20,0.0,CosineSimilarity
4,1135,5,0.4,CosineSimilarity
4,1651,20,0.1,CosineSimilarity
5,2321,5,0.4,CosineSimilarity
5,1409,20,0.1,CosineSimilarity
6,2828,5,0.2,CosineSimilarity
6,2753,20,0.05,CosineSimilarity
7,3128,5,0.8,CosineSimilarity
7,2871,20,0.5,CosineSimilarity
8,2541,5,0.0,CosineSimilarity
8,2197,20,0.05,CosineSimilarity
9,2371,5,0.2,CosineSimilarity
9,3040,20,0.2,CosineSimilarity
10,1795,5,0.6,CosineSimilarity
10,2182,20,0.5,CosineSimilarity
11,2091,5,0.4,CosineSimilarity
11,2826,20,0.3,CosineSimilarity
12,1680,5,0.4,CosineSimilarity
12,1247,20,0.2,CosineSimilarity
13,1901,5,0.2,CosineSimilarity
13,1235,20,0.3,CosineSimilarity
14,2964,5,0.2,CosineSimilarity
14,3058,20,0.3,CosineSimilarity
15,820,5,0.2,CosineSimilarity
15,1947,20,0.15,CosineSimilarity
16,1922,5,0.0,CosineSimilarity
16,507,20,0.05,CosineSimilarity
17,2748,5,0.6,CosineSimilarity
17,2423,20,0.25,CosineSimilarity
18,3156,5,0.2,CosineSimilarity
18,1811,20,0.1,CosineSimilarity
19,2557,5,0.4,CosineSimilarity
19,2080,20,0.3,CosineSimilarity
20,144,5,0.4,CosineSimilarity
20,2766,20,0.1,CosineSimilarity
21,2743,5,0.0,CosineSimilarity
21,2702,20,0.1,CosineSimilarity
22,2637,5,0.8,CosineSimilarity
22,87,20,0.35,CosineSimilarity
23,88,5,0.6,CosineSimilarity
23,2630,20,0.2,CosineSimilarity
24,1892,5,0.4,CosineSimilarity
24,1541,20,0.15,CosineSimilarity
25,2984,5,0.6,CosineSimilarity
25,1177,20,0.4,CosineSimilarity
26,2541,5,0.6,CosineSimilarity
26,2938,20,0.3,CosineSimilarity
27,2406,5,0.6,CosineSimilarity
27,3112,20,0.25,CosineSimilarity
28,2562,5,0.8,CosineSimilarity
28,2951,20,0.2,CosineSimilarity
29,1497,5,0.0,CosineSimilarity
29,2206,20,0.4,CosineSimilarity
30,84,5,0.2,CosineSimilarity
30,2629,20,0.1,CosineSimilarity
31,1440,5,0.2,CosineSimilarity
31,1144,20,0.05,CosineSimilarity
32,3156,5,0.4,CosineSimilarity
32,2771,20,0.1,CosineSimilarity
33,559,5,0.0,CosineSimilarity
33,2807,20,0.0,CosineSimilarity
36,2179,5,0.6,CosineSimilarity
36,1184,20,0.3,CosineSimilarity
37,2376,5,0.2,CosineSimilarity
37,2632,20,0.1,CosineSimilarity
38,3142,5,0.2,CosineSimilarity
38,1625,20,0.25,CosineSimilarity
39,2931,5,0.4,CosineSimilarity
39,2082,20,0.25,CosineSimilarity
40,1051,5,0.4,CosineSimilarity
40,2958,20,0.25,CosineSimilarity
42,2019,5,0.0,CosineSimilarity
42,3135,20,0.0,CosineSimilarity
43,3149,5,0.4,CosineSimilarity
43,204,20,0.15,CosineSimilarity
44,2771,5,0.4,CosineSimilarity
44,2947,20,0.3,CosineSimilarity
45,2816,5,0.6,CosineSimilarity
45,1780,20,0.3,CosineSimilarity
48,2314,5,0.2,CosineSimilarity
48,2986,20,0.05,CosineSimilarity
49,651,5,0.4,CosineSimilarity
49,1699,20,0.1,CosineSimilarity
57,196,5,0.2,CosineSimilarity
57,1469,20,0.05,CosineSimilarity
58,840,5,0.2,CosineSimilarity
58,297,20,0.2,CosineSimilarity
59,1235,5,0.6,CosineSimilarity
59,3126,20,0.55,CosineSimilarity
60,1366,5,0.2,CosineSimilarity
60,2720,20,0.2,CosineSimilarity
61,2114,5,0.4,CosineSimilarity
61,1976,20,0.45,CosineSimilarity
62,1925,5,0.0,CosineSimilarity
62,2927,20,0.0,CosineSimilarity
63,3086,5,0.0,CosineSimilarity
63,2970,20,0.15,CosineSimilarity
64,2993,5,0.0,CosineSimilarity
64,3052,20,0.05,CosineSimilarity
