QueryID,DocID,Document Rank,Precision,System_Name
1,971,5,0.4,ExpandStopping_BM25
1,1168,20,0.1,ExpandStopping_BM25
2,2862,5,0.4,ExpandStopping_BM25
2,1621,20,0.15,ExpandStopping_BM25
3,2703,5,0.0,ExpandStopping_BM25
3,2921,20,0.05,ExpandStopping_BM25
4,2371,5,0.6,ExpandStopping_BM25
4,3120,20,0.25,ExpandStopping_BM25
5,2003,5,0.4,ExpandStopping_BM25
5,2357,20,0.2,ExpandStopping_BM25
6,605,5,0.4,ExpandStopping_BM25
6,1385,20,0.15,ExpandStopping_BM25
7,3128,5,0.8,ExpandStopping_BM25
7,2851,20,0.5,ExpandStopping_BM25
8,2949,5,0.6,ExpandStopping_BM25
8,1685,20,0.15,ExpandStopping_BM25
9,1808,5,0.4,ExpandStopping_BM25
9,2578,20,0.25,ExpandStopping_BM25
10,2714,5,0.8,ExpandStopping_BM25
10,2342,20,0.75,ExpandStopping_BM25
11,2198,5,0.6,ExpandStopping_BM25
11,2787,20,0.4,ExpandStopping_BM25
12,1750,5,0.4,ExpandStopping_BM25
12,2740,20,0.1,ExpandStopping_BM25
13,2495,5,0.6,ExpandStopping_BM25
13,2858,20,0.25,ExpandStopping_BM25
14,3075,5,0.6,ExpandStopping_BM25
14,2146,20,0.7,ExpandStopping_BM25
15,2835,5,0.2,ExpandStopping_BM25
15,2812,20,0.15,ExpandStopping_BM25
16,243,5,0.0,ExpandStopping_BM25
16,1846,20,0.2,ExpandStopping_BM25
17,1807,5,0.4,ExpandStopping_BM25
17,1947,20,0.3,ExpandStopping_BM25
18,2714,5,0.4,ExpandStopping_BM25
18,1807,20,0.2,ExpandStopping_BM25
19,2714,5,0.8,ExpandStopping_BM25
19,2785,20,0.3,ExpandStopping_BM25
20,2484,5,0.4,ExpandStopping_BM25
20,3152,20,0.1,ExpandStopping_BM25
21,2932,5,0.2,ExpandStopping_BM25
21,3055,20,0.2,ExpandStopping_BM25
22,2441,5,0.8,ExpandStopping_BM25
22,2678,20,0.5,ExpandStopping_BM25
23,3032,5,0.4,ExpandStopping_BM25
23,3090,20,0.2,ExpandStopping_BM25
24,268,5,0.4,ExpandStopping_BM25
24,1747,20,0.2,ExpandStopping_BM25
25,2522,5,0.2,ExpandStopping_BM25
25,2984,20,0.45,ExpandStopping_BM25
26,2621,5,0.0,ExpandStopping_BM25
26,2849,20,0.05,ExpandStopping_BM25
27,2988,5,1.0,ExpandStopping_BM25
27,3006,20,0.4,ExpandStopping_BM25
28,2890,5,0.8,ExpandStopping_BM25
28,2614,20,0.2,ExpandStopping_BM25
29,2462,5,0.8,ExpandStopping_BM25
29,1631,20,0.5,ExpandStopping_BM25
30,1856,5,0.2,ExpandStopping_BM25
30,2746,20,0.1,ExpandStopping_BM25
31,2283,5,0.2,ExpandStopping_BM25
31,2004,20,0.1,ExpandStopping_BM25
32,2289,5,0.2,ExpandStopping_BM25
32,2695,20,0.1,ExpandStopping_BM25
33,2554,5,0.0,ExpandStopping_BM25
33,2213,20,0.05,ExpandStopping_BM25
36,2703,5,0.4,ExpandStopping_BM25
36,1855,20,0.35,ExpandStopping_BM25
37,3031,5,0.4,ExpandStopping_BM25
37,2243,20,0.2,ExpandStopping_BM25
38,2940,5,1.0,ExpandStopping_BM25
38,2299,20,0.45,ExpandStopping_BM25
39,3103,5,0.2,ExpandStopping_BM25
39,867,20,0.3,ExpandStopping_BM25
40,2940,5,0.6,ExpandStopping_BM25
40,2316,20,0.3,ExpandStopping_BM25
42,3070,5,0.8,ExpandStopping_BM25
42,2892,20,0.45,ExpandStopping_BM25
43,3046,5,0.4,ExpandStopping_BM25
43,2924,20,0.5,ExpandStopping_BM25
44,3047,5,1.0,ExpandStopping_BM25
44,1482,20,0.5,ExpandStopping_BM25
45,2882,5,0.8,ExpandStopping_BM25
45,1032,20,0.4,ExpandStopping_BM25
48,2475,5,0.2,ExpandStopping_BM25
48,2993,20,0.45,ExpandStopping_BM25
49,2882,5,0.0,ExpandStopping_BM25
49,1976,20,0.2,ExpandStopping_BM25
57,2922,5,0.2,ExpandStopping_BM25
57,3080,20,0.05,ExpandStopping_BM25
58,2825,5,0.8,ExpandStopping_BM25
58,382,20,0.45,ExpandStopping_BM25
59,1700,5,0.6,ExpandStopping_BM25
59,2532,20,0.4,ExpandStopping_BM25
60,2876,5,0.8,ExpandStopping_BM25
60,2990,20,0.65,ExpandStopping_BM25
61,1457,5,1.0,ExpandStopping_BM25
61,1681,20,0.6,ExpandStopping_BM25
62,2570,5,0.8,ExpandStopping_BM25
62,3059,20,0.25,ExpandStopping_BM25
63,3156,5,1.0,ExpandStopping_BM25
63,2195,20,0.45,ExpandStopping_BM25
64,1588,5,0.2,ExpandStopping_BM25
64,1861,20,0.05,ExpandStopping_BM25
