QueryID,DocID,Document Rank,Precision,System_Name
1,1519,5,0.4,Expanding_BM25
1,1657,20,0.1,Expanding_BM25
2,2595,5,0.6,Expanding_BM25
2,1964,20,0.15,Expanding_BM25
3,1387,5,0.0,Expanding_BM25
3,2551,20,0.1,Expanding_BM25
4,2371,5,0.6,Expanding_BM25
4,1199,20,0.2,Expanding_BM25
5,1937,5,0.4,Expanding_BM25
5,3147,20,0.2,Expanding_BM25
6,695,5,0.4,Expanding_BM25
6,1272,20,0.15,Expanding_BM25
7,2342,5,0.8,Expanding_BM25
7,2344,20,0.45,Expanding_BM25
8,2776,5,0.6,Expanding_BM25
8,1735,20,0.15,Expanding_BM25
9,1745,5,0.6,Expanding_BM25
9,3141,20,0.25,Expanding_BM25
10,1795,5,0.6,Expanding_BM25
10,2570,20,0.65,Expanding_BM25
11,2198,5,0.6,Expanding_BM25
11,2246,20,0.4,Expanding_BM25
12,1747,5,0.4,Expanding_BM25
12,2542,20,0.15,Expanding_BM25
13,2495,5,0.6,Expanding_BM25
13,3125,20,0.25,Expanding_BM25
14,701,5,0.4,Expanding_BM25
14,1956,20,0.65,Expanding_BM25
15,2835,5,0.2,Expanding_BM25
15,3018,20,0.1,Expanding_BM25
16,1135,5,0.2,Expanding_BM25
16,1854,20,0.15,Expanding_BM25
17,2423,5,0.0,Expanding_BM25
17,3005,20,0.15,Expanding_BM25
18,2175,5,0.4,Expanding_BM25
18,1928,20,0.3,Expanding_BM25
19,2714,5,0.8,Expanding_BM25
19,1601,20,0.35,Expanding_BM25
20,1683,5,0.4,Expanding_BM25
20,2442,20,0.1,Expanding_BM25
21,2837,5,0.2,Expanding_BM25
21,2903,20,0.15,Expanding_BM25
22,2564,5,1.0,Expanding_BM25
22,2771,20,0.4,Expanding_BM25
23,3032,5,0.4,Expanding_BM25
23,1695,20,0.2,Expanding_BM25
24,1410,5,0.4,Expanding_BM25
24,3089,20,0.2,Expanding_BM25
25,1719,5,0.6,Expanding_BM25
25,3048,20,0.45,Expanding_BM25
26,2621,5,0.0,Expanding_BM25
26,1591,20,0.1,Expanding_BM25
27,2988,5,1.0,Expanding_BM25
27,1750,20,0.4,Expanding_BM25
28,2890,5,0.8,Expanding_BM25
28,3082,20,0.2,Expanding_BM25
29,2462,5,0.8,Expanding_BM25
29,1930,20,0.5,Expanding_BM25
30,1739,5,0.4,Expanding_BM25
30,2739,20,0.15,Expanding_BM25
31,1686,5,0.2,Expanding_BM25
31,533,20,0.1,Expanding_BM25
32,2883,5,0.2,Expanding_BM25
32,2059,20,0.1,Expanding_BM25
33,2695,5,0.2,Expanding_BM25
33,2186,20,0.05,Expanding_BM25
36,2110,5,0.6,Expanding_BM25
36,1855,20,0.4,Expanding_BM25
37,3103,5,0.2,Expanding_BM25
37,2931,20,0.1,Expanding_BM25
38,3103,5,0.8,Expanding_BM25
38,2876,20,0.45,Expanding_BM25
39,2254,5,0.2,Expanding_BM25
39,3031,20,0.25,Expanding_BM25
40,3105,5,0.6,Expanding_BM25
40,2931,20,0.25,Expanding_BM25
42,3089,5,0.8,Expanding_BM25
42,2798,20,0.35,Expanding_BM25
43,2847,5,0.4,Expanding_BM25
43,2287,20,0.35,Expanding_BM25
44,2004,5,1.0,Expanding_BM25
44,3047,20,0.45,Expanding_BM25
45,2926,5,0.6,Expanding_BM25
45,2451,20,0.4,Expanding_BM25
48,1759,5,0.6,Expanding_BM25
48,1666,20,0.4,Expanding_BM25
49,1681,5,0.2,Expanding_BM25
49,2516,20,0.2,Expanding_BM25
57,2850,5,0.2,Expanding_BM25
57,1135,20,0.05,Expanding_BM25
58,1171,5,0.8,Expanding_BM25
58,69,20,0.5,Expanding_BM25
59,2437,5,0.8,Expanding_BM25
59,2141,20,0.4,Expanding_BM25
60,2976,5,0.8,Expanding_BM25
60,2092,20,0.6,Expanding_BM25
61,1457,5,1.0,Expanding_BM25
61,2451,20,0.65,Expanding_BM25
62,1158,5,0.4,Expanding_BM25
62,2895,20,0.25,Expanding_BM25
63,3156,5,1.0,Expanding_BM25
63,2895,20,0.45,Expanding_BM25
64,2470,5,0.2,Expanding_BM25
64,1677,20,0.05,Expanding_BM25
