QueryID,DocID,Document Rank,Precision,System_Name
1,2629,5,0.2,Lucene
1,2535,20,0.1,Lucene
2,2863,5,0.6,Lucene
2,3171,20,0.15,Lucene
3,252,5,0.0,Lucene
3,3130,20,0.0,Lucene
4,2314,5,0.2,Lucene
4,3049,20,0.1,Lucene
5,1978,5,0.2,Lucene
5,1764,20,0.15,Lucene
6,492,5,0.2,Lucene
6,2176,20,0.1,Lucene
7,3128,5,0.8,Lucene
7,1381,20,0.4,Lucene
8,2371,5,0.4,Lucene
8,2858,20,0.1,Lucene
9,3082,5,0.2,Lucene
9,2046,20,0.2,Lucene
10,2895,5,0.8,Lucene
10,1262,20,0.55,Lucene
11,1923,5,0.6,Lucene
11,2320,20,0.3,Lucene
12,2111,5,0.4,Lucene
12,2541,20,0.2,Lucene
13,2559,5,0.6,Lucene
13,2716,20,0.2,Lucene
14,3131,5,0.4,Lucene
14,2890,20,0.2,Lucene
15,2944,5,0.0,Lucene
15,2388,20,0.15,Lucene
16,2080,5,0.2,Lucene
16,2949,20,0.2,Lucene
17,1947,5,0.4,Lucene
17,1757,20,0.2,Lucene
18,1795,5,0.0,Lucene
18,2723,20,0.15,Lucene
19,3156,5,0.8,Lucene
19,2182,20,0.35,Lucene
20,2524,5,0.6,Lucene
20,1924,20,0.15,Lucene
21,3018,5,0.2,Lucene
21,1658,20,0.15,Lucene
22,2369,5,0.6,Lucene
22,2402,20,0.45,Lucene
23,1745,5,0.6,Lucene
23,2766,20,0.15,Lucene
24,942,5,0.4,Lucene
24,1749,20,0.1,Lucene
25,3089,5,1.0,Lucene
25,1728,20,0.35,Lucene
26,3128,5,0.4,Lucene
26,2377,20,0.3,Lucene
27,2902,5,0.6,Lucene
27,2669,20,0.35,Lucene
28,1685,5,0.6,Lucene
28,2371,20,0.2,Lucene
29,2927,5,0.4,Lucene
29,2524,20,0.5,Lucene
30,2871,5,0.2,Lucene
30,2931,20,0.05,Lucene
31,2283,5,0.2,Lucene
31,1543,20,0.1,Lucene
32,3156,5,0.2,Lucene
32,2877,20,0.1,Lucene
33,2047,5,0.0,Lucene
33,2261,20,0.05,Lucene
36,1265,5,0.4,Lucene
36,1836,20,0.45,Lucene
37,2060,5,0.4,Lucene
37,2958,20,0.15,Lucene
38,2867,5,0.2,Lucene
38,2233,20,0.05,Lucene
39,3103,5,0.2,Lucene
39,2684,20,0.2,Lucene
40,1098,5,0.4,Lucene
40,2651,20,0.2,Lucene
42,2402,5,0.0,Lucene
42,2232,20,0.15,Lucene
43,3098,5,0.2,Lucene
43,2402,20,0.3,Lucene
44,1260,5,0.4,Lucene
44,2812,20,0.15,Lucene
45,2816,5,0.8,Lucene
45,2926,20,0.3,Lucene
48,2968,5,0.2,Lucene
48,2433,20,0.05,Lucene
49,2795,5,0.4,Lucene
49,3177,20,0.1,Lucene
57,1132,5,0.2,Lucene
57,1614,20,0.05,Lucene
58,1698,5,0.4,Lucene
58,2188,20,0.25,Lucene
59,1665,5,0.4,Lucene
59,2484,20,0.45,Lucene
60,695,5,0.2,Lucene
60,3202,20,0.15,Lucene
61,1236,5,1.0,Lucene
61,1287,20,0.55,Lucene
62,2720,5,0.0,Lucene
62,2076,20,0.0,Lucene
63,2896,5,0.8,Lucene
63,2685,20,0.35,Lucene
64,2513,5,0.2,Lucene
64,2390,20,0.05,Lucene
