QueryID,DocID,Document Rank,Precision,System_Name
1,971,5,0.4,Stopping_BM25
1,1033,20,0.1,Stopping_BM25
2,1014,5,0.6,Stopping_BM25
2,1183,20,0.15,Stopping_BM25
3,1134,5,0.2,Stopping_BM25
3,2904,20,0.05,Stopping_BM25
4,1135,5,0.4,Stopping_BM25
4,2870,20,0.15,Stopping_BM25
5,892,5,0.4,Stopping_BM25
5,1272,20,0.15,Stopping_BM25
6,605,5,0.4,Stopping_BM25
6,492,20,0.15,Stopping_BM25
7,3128,5,0.8,Stopping_BM25
7,1854,20,0.5,Stopping_BM25
8,2776,5,0.4,Stopping_BM25
8,40,20,0.1,Stopping_BM25
9,1808,5,0.4,Stopping_BM25
9,1928,20,0.25,Stopping_BM25
10,1262,5,0.8,Stopping_BM25
10,2175,20,0.7,Stopping_BM25
11,2906,5,0.6,Stopping_BM25
11,2320,20,0.35,Stopping_BM25
12,1750,5,0.4,Stopping_BM25
12,1923,20,0.1,Stopping_BM25
13,3080,5,0.6,Stopping_BM25
13,1807,20,0.25,Stopping_BM25
14,3075,5,0.6,Stopping_BM25
14,2146,20,0.7,Stopping_BM25
15,2195,5,0.2,Stopping_BM25
15,3080,20,0.1,Stopping_BM25
16,2320,5,0.2,Stopping_BM25
16,618,20,0.15,Stopping_BM25
17,1658,5,0.2,Stopping_BM25
17,3054,20,0.1,Stopping_BM25
18,2685,5,0.4,Stopping_BM25
18,2785,20,0.3,Stopping_BM25
19,3156,5,1.0,Stopping_BM25
19,3059,20,0.35,Stopping_BM25
20,2490,5,0.4,Stopping_BM25
20,1847,20,0.1,Stopping_BM25
21,2932,5,0.2,Stopping_BM25
21,3055,20,0.2,Stopping_BM25
22,2441,5,0.8,Stopping_BM25
22,2004,20,0.45,Stopping_BM25
23,2949,5,0.6,Stopping_BM25
23,1862,20,0.2,Stopping_BM25
24,1194,5,0.4,Stopping_BM25
24,1846,20,0.15,Stopping_BM25
25,2812,5,0.4,Stopping_BM25
25,1267,20,0.45,Stopping_BM25
26,2626,5,0.0,Stopping_BM25
26,3128,20,0.15,Stopping_BM25
27,2798,5,0.8,Stopping_BM25
27,3006,20,0.55,Stopping_BM25
28,2890,5,0.8,Stopping_BM25
28,1723,20,0.2,Stopping_BM25
29,2462,5,0.8,Stopping_BM25
29,2067,20,0.6,Stopping_BM25
30,2501,5,0.4,Stopping_BM25
30,1170,20,0.2,Stopping_BM25
31,1144,5,0.2,Stopping_BM25
31,1929,20,0.1,Stopping_BM25
32,2883,5,0.2,Stopping_BM25
32,2752,20,0.05,Stopping_BM25
33,2335,5,0.2,Stopping_BM25
33,2213,20,0.05,Stopping_BM25
36,2030,5,0.4,Stopping_BM25
36,2050,20,0.35,Stopping_BM25
37,3103,5,0.4,Stopping_BM25
37,867,20,0.15,Stopping_BM25
38,3105,5,0.8,Stopping_BM25
38,1398,20,0.45,Stopping_BM25
39,3103,5,0.2,Stopping_BM25
39,618,20,0.3,Stopping_BM25
40,2406,5,0.4,Stopping_BM25
40,2051,20,0.25,Stopping_BM25
42,2542,5,1.0,Stopping_BM25
42,2535,20,0.3,Stopping_BM25
43,2883,5,0.6,Stopping_BM25
43,462,20,0.5,Stopping_BM25
44,2751,5,0.8,Stopping_BM25
44,1653,20,0.25,Stopping_BM25
45,2765,5,0.8,Stopping_BM25
45,3152,20,0.35,Stopping_BM25
48,1863,5,0.4,Stopping_BM25
48,2675,20,0.4,Stopping_BM25
49,1032,5,0.0,Stopping_BM25
49,2561,20,0.2,Stopping_BM25
57,2922,5,0.2,Stopping_BM25
57,3103,20,0.05,Stopping_BM25
58,1474,5,0.6,Stopping_BM25
58,1732,20,0.45,Stopping_BM25
59,2905,5,0.8,Stopping_BM25
59,1112,20,0.4,Stopping_BM25
60,2716,5,0.8,Stopping_BM25
60,3026,20,0.6,Stopping_BM25
61,634,5,1.0,Stopping_BM25
61,1699,20,0.6,Stopping_BM25
62,2401,5,0.6,Stopping_BM25
62,2342,20,0.2,Stopping_BM25
63,2289,5,1.0,Stopping_BM25
63,2896,20,0.5,Stopping_BM25
64,527,5,0.2,Stopping_BM25
64,2051,20,0.05,Stopping_BM25
