QueryID,DocID,Document Rank,Precision,System_Name
1,2380,5,0.2,TFIDF
1,585,20,0.15,TFIDF
2,3129,5,0.4,TFIDF
2,2939,20,0.15,TFIDF
3,3077,5,0.0,TFIDF
3,1807,20,0.1,TFIDF
4,3128,5,0.2,TFIDF
4,1145,20,0.1,TFIDF
5,1698,5,0.2,TFIDF
5,2820,20,0.15,TFIDF
6,1543,5,0.4,TFIDF
6,1397,20,0.1,TFIDF
7,2912,5,0.8,TFIDF
7,2208,20,0.25,TFIDF
8,2776,5,0.4,TFIDF
8,2020,20,0.1,TFIDF
9,2951,5,0.4,TFIDF
9,2424,20,0.25,TFIDF
10,2700,5,1.0,TFIDF
10,1468,20,0.5,TFIDF
11,2198,5,0.4,TFIDF
11,2081,20,0.4,TFIDF
12,1680,5,0.4,TFIDF
12,2080,20,0.15,TFIDF
13,2680,5,0.4,TFIDF
13,2711,20,0.1,TFIDF
14,2181,5,0.2,TFIDF
14,2902,20,0.15,TFIDF
15,1807,5,0.0,TFIDF
15,2812,20,0.1,TFIDF
16,3141,5,0.2,TFIDF
16,2160,20,0.15,TFIDF
17,2491,5,0.4,TFIDF
17,1652,20,0.15,TFIDF
18,3075,5,0.0,TFIDF
18,2886,20,0.1,TFIDF
19,2714,5,0.8,TFIDF
19,2175,20,0.35,TFIDF
20,2484,5,0.4,TFIDF
20,2273,20,0.1,TFIDF
21,2325,5,0.0,TFIDF
21,1659,20,0.15,TFIDF
22,2674,5,0.2,TFIDF
22,2598,20,0.05,TFIDF
23,2276,5,0.6,TFIDF
23,3124,20,0.15,TFIDF
24,2882,5,0.2,TFIDF
24,942,20,0.05,TFIDF
25,2319,5,0.6,TFIDF
25,2535,20,0.45,TFIDF
26,2632,5,0.2,TFIDF
26,1476,20,0.15,TFIDF
27,2988,5,0.8,TFIDF
27,2479,20,0.4,TFIDF
28,2892,5,0.8,TFIDF
28,441,20,0.2,TFIDF
29,1933,5,0.0,TFIDF
29,2606,20,0.05,TFIDF
30,1926,5,0.2,TFIDF
30,2479,20,0.1,TFIDF
31,3015,5,0.2,TFIDF
31,533,20,0.1,TFIDF
32,2484,5,0.2,TFIDF
32,2015,20,0.1,TFIDF
33,2233,5,0.0,TFIDF
33,2217,20,0.05,TFIDF
36,2112,5,0.6,TFIDF
36,2786,20,0.3,TFIDF
37,3142,5,0.2,TFIDF
37,1844,20,0.15,TFIDF
38,3105,5,0.2,TFIDF
38,1323,20,0.05,TFIDF
39,2470,5,0.2,TFIDF
39,2406,20,0.25,TFIDF
40,1098,5,0.4,TFIDF
40,2314,20,0.2,TFIDF
42,1726,5,0.0,TFIDF
42,3048,20,0.2,TFIDF
43,2341,5,0.0,TFIDF
43,1726,20,0.25,TFIDF
44,2325,5,0.4,TFIDF
44,2871,20,0.15,TFIDF
45,3002,5,0.8,TFIDF
45,2669,20,0.35,TFIDF
48,1433,5,0.0,TFIDF
48,2883,20,0.05,TFIDF
49,1032,5,0.0,TFIDF
49,2852,20,0.15,TFIDF
57,2705,5,0.2,TFIDF
57,1856,20,0.05,TFIDF
58,1698,5,0.6,TFIDF
58,2188,20,0.25,TFIDF
59,1235,5,0.6,TFIDF
59,1527,20,0.3,TFIDF
60,1844,5,0.2,TFIDF
60,2716,20,0.15,TFIDF
61,1976,5,1.0,TFIDF
61,2561,20,0.5,TFIDF
62,2342,5,0.0,TFIDF
62,2580,20,0.05,TFIDF
63,2851,5,0.6,TFIDF
63,2195,20,0.3,TFIDF
64,2002,5,0.2,TFIDF
64,2390,20,0.05,TFIDF
