Perplexity:- 80012.16015404911; Iteration:- 1
Perplexity:- 86873.85751754369; Iteration:- 2
Perplexity:- 72745.83228542212; Iteration:- 3
Perplexity:- 75797.26897844874; Iteration:- 4
Perplexity:- 69517.15370000398; Iteration:- 5
Perplexity:- 71873.6652751672; Iteration:- 6
Perplexity:- 68400.16079996382; Iteration:- 7
Perplexity:- 70038.42468204358; Iteration:- 8
Perplexity:- 68007.49027922787; Iteration:- 9
Perplexity:- 69122.73181284904; Iteration:- 10
Perplexity:- 67830.86087594018; Iteration:- 11
Perplexity:- 68640.1974361937; Iteration:- 12
Perplexity:- 67760.80216837933; Iteration:- 13
Perplexity:- 68338.40923440758; Iteration:- 14
Perplexity:- 67751.95228770559; Iteration:- 15
Perplexity:- 68150.14886897967; Iteration:- 16
Perplexity:- 67751.25291824728; Iteration:- 17
Perplexity:- 68036.28052263251; Iteration:- 18
Perplexity:- 67756.98468406379; Iteration:- 19
Perplexity:- 67960.35448292956; Iteration:- 20
Perplexity:- 67767.21407863796; Iteration:- 21
Perplexity:- 67909.87287672586; Iteration:- 22
Perplexity:- 67775.75486684448; Iteration:- 23
Perplexity:- 67877.23733145128; Iteration:- 24
Perplexity:- 67782.67249051247; Iteration:- 25
Perplexity:- 67855.12554400807; Iteration:- 26
Perplexity:- 67788.71278193532; Iteration:- 27
Perplexity:- 67839.9928497072; Iteration:- 28
Perplexity:- 67793.3846573827; Iteration:- 29
Perplexity:- 67829.85091895732; Iteration:- 30
Perplexity:- 67796.87177339832; Iteration:- 31
Perplexity:- 67822.91431746286; Iteration:- 32
Perplexity:- 67799.58222776323; Iteration:- 33
Perplexity:- 67818.09692922462; Iteration:- 34
Perplexity:- 67801.61111892553; Iteration:- 35
Perplexity:- 67814.79910098304; Iteration:- 36
Perplexity:- 67803.09650802662; Iteration:- 37
Perplexity:- 67812.51366824041; Iteration:- 38
Perplexity:- 67804.20438379425; Iteration:- 39
Perplexity:- 67810.91870106176; Iteration:- 40
Perplexity:- 67805.01829064504; Iteration:- 41
Perplexity:- 67809.80876478025; Iteration:- 42
Perplexity:- 67805.61160668447; Iteration:- 43
Perplexity:- 67809.03363791028; Iteration:- 44
Perplexity:- 67806.04476533423; Iteration:- 45
Perplexity:- 67808.48874095888; Iteration:- 46
Perplexity:- 67806.36052791531; Iteration:- 47
Perplexity:- 67808.10677025997; Iteration:- 48
Perplexity:- 67806.58958941374; Iteration:- 49
Perplexity:- 67807.83802200947; Iteration:- 50
Perplexity:- 67806.75603611059; Iteration:- 51
Perplexity:- 67807.64866764373; Iteration:- 52
Perplexity:- 67806.87646653049; Iteration:- 53
Perplexity:- 67807.51505694808; Iteration:- 54
Perplexity:- 67806.96370815508; Iteration:- 55
Perplexity:- 67807.42054743803; Iteration:- 56
